,Columns,Features
2,Liter,0.5600597687107615
11,Make_SAAB,0.2096727928562353
44,Model_XLR-V8,0.09703808137701657
0,Mileage,0.03291792956905252
8,Make_Cadillac,0.032090098107852884
10,Make_Pontiac,0.02630764761996735
92,Type_Convertible,0.0062275546246947965
18,Model_AVEO,0.004793298364632222
89,Trim_Sedan 4D,0.004261590007401552
27,Model_Deville,0.0034693197922075147
56,Trim_Coupe 2D,0.0031259891932457254
39,Model_Park Avenue,0.0028752278963547623
9,Make_Chevrolet,0.0027058069035117024
40,Model_STS-V6,0.0024647423520138207
28,Model_G6,0.0017873658783947362
61,Trim_GT Sedan 4D,0.0013266427670434594
67,Trim_LS Coupe 2D,0.0013237340941748914
16,Model_9_5,0.0006359605948804038
86,Trim_SS Sedan 4D,0.0006020749592088732
50,Trim_Arc Sedan 4D,0.0005474881108525921
85,Trim_SS Coupe 2D,0.0005423813535852625
13,Model_9-2X AWD,0.00046856680646579227
54,Trim_CXS Sedan 4D,0.0004130355360479097
49,Trim_Arc Conv 2D,0.00032407388846249436
88,Trim_SVM Sedan 4D,0.0002852564607552381
55,Trim_Conv 2D,0.00026824240467900723
83,Trim_SE Sedan 4D,0.00025917740493561247
17,Model_9_5 HO,0.00022767080530616734
5,Sound,0.000222528027278654
25,Model_Cobalt,0.00020484863688850378
6,Leather,0.0001989927390129329
53,Trim_CXL Sedan 4D,0.00019624431201972583
20,Model_CST-V,0.00019371905272589463
59,Trim_DTS Sedan 4D,0.00018364457747148443
82,Trim_Quad Coupe 2D,0.0001739233450181388
93,Type_Coupe,0.00015442327551842548
22,Model_Cavalier,0.00013615447547492756
57,Trim_Custom Sedan 4D,0.00013316997977582605
87,Trim_SVM Hatchback 4D,0.00012759669418871002
19,Model_Bonneville,0.00011057056134728964
36,Model_Lesabre,9.846824340186716e-05
77,Trim_Limited Sedan 4D,7.685696335503773e-05
30,Model_Grand Am,6.545483646502694e-05
41,Model_STS-V8,5.996350379287559e-05
15,Model_9_3 HO,5.805179590346061e-05
84,Trim_SLE Sedan 4D,5.665005031552982e-05
72,Trim_LS Sport Sedan 4D,5.593327824706061e-05
70,Trim_LS Sedan 4D,5.22484612025173e-05
4,Cruise,5.104713499939069e-05
24,Model_Classic,5.0618685035422257e-05
91,Trim_Sportwagon 4D,4.1973896882099695e-05
63,Trim_GTP Sedan 4D,3.251032715306014e-05
48,Trim_Aero Wagon 4D,2.887585586983655e-05
95,Type_Sedan,2.879840027328358e-05
94,Type_Hatchback,2.8671854864724602e-05
76,Trim_LT Sedan 4D,2.4495577347526336e-05
45,Trim_AWD Sportwagon 4D,2.222821067961591e-05
52,Trim_CX Sedan 4D,1.9105193418284848e-05
80,Trim_Linear Wagon 4D,1.87046380742296e-05
34,Model_L Series,1.820328808981989e-05
81,Trim_MAXX Hback 4D,1.4107021719392173e-05
3,Doors,7.826147593708887e-06
75,Trim_LT MAXX Hback 4D,7.781337126914346e-06
96,Type_Wagon,6.929164844698135e-06
69,Trim_LS MAXX Hback 4D,3.6813664005570026e-06
38,Model_Monte Carlo,3.5181662823717428e-06
7,Make_Buick,2.01797762104586e-06
71,Trim_LS Sport Coupe 2D,1.8764845325094013e-06
37,Model_Malibu,1.5727063781833753e-06
12,Make_Saturn,1.5224360362356972e-06
14,Model_9_3,1.038035802145547e-06
35,Model_Lacrosse,1.0123686997492046e-06
68,Trim_LS Hatchback 4D,4.2305965971575063e-07
32,Model_Impala,3.6086803581769775e-07
62,Trim_GT Sportwagon,6.962800719259375e-08
33,Model_Ion,4.9341453479943096e-08
46,Trim_Aero Conv 2D,1.9577974305138233e-08
29,Model_GTO,0.0
47,Trim_Aero Sedan 4D,0.0
90,Trim_Special Ed Ultra 4D,0.0
1,Cylinder,0.0
21,Model_CTS,0.0
23,Model_Century,0.0
26,Model_Corvette,0.0
42,Model_Sunfire,0.0
31,Model_Grand Prix,0.0
58,Trim_DHS Sedan 4D,0.0
64,Trim_GXP Sedan 4D,0.0
79,Trim_Linear Sedan 4D,0.0
78,Trim_Linear Conv 2D,0.0
43,Model_Vibe,0.0
51,Trim_Arc Wagon 4D,0.0
74,Trim_LT Hatchback 4D,0.0
73,Trim_LT Coupe 2D,0.0
66,Trim_L300 Sedan 4D,0.0
65,Trim_Hardtop Conv 2D,0.0
60,Trim_GT Coupe 2D,0.0
